date,googl,aapl
18-03-2021,2021.34,120.53
17-03-2021,2082.22,124.76
16-03-2021,2083.89,125.57
15-03-2021,2054.44,123.99
12-03-2021,2050,121.03
11-03-2021,2100.54,121.96
10-03-2021,2036.19,119.98
09-03-2021,2040.36,121.85
08-03-2021,2007.5,116.36
05-03-2021,2097.07,121.42
04-03-2021,2033.93,120.13
03-03-2021,2011.41,122.06
02-03-2021,2064.48,125.12
01-03-2021,2069.66,127.79
26-02-2021,2021.91,121.26
25-02-2021,2015.95,120.99
24-02-2021,2083.81,125.35
23-02-2021,2060.12,125.86
22-02-2021,2054.26,126
19-02-2021,2088.81,129.87
18-02-2021,2105.81,129.71
17-02-2021,2118.62,130.84
16-02-2021,2110.7,133.19
12-02-2021,2095.03,135.37
11-02-2021,2088.75,135.13
10-02-2021,2086.48,135.39
09-02-2021,2075.39,136.01
08-02-2021,2084.52,136.91
05-02-2021,2088.83,136.76
04-02-2021,2053.63,137.39
03-02-2021,2058.88,133.94
02-02-2021,1919.12,134.99
01-02-2021,1893.07,134.14
29-01-2021,1827.36,131.96
28-01-2021,1853.2,137.09
27-01-2021,1818.94,142.06
26-01-2021,1907.95,143.16
25-01-2021,1894.28,142.92
22-01-2021,1892.56,139.07
21-01-2021,1884.15,136.87
20-01-2021,1880.07,132.03
19-01-2021,1784.47,127.83
15-01-2021,1727.62,127.14
14-01-2021,1730.92,128.91
13-01-2021,1747.25,130.89
12-01-2021,1737.43,128.8
11-01-2021,1756.29,128.98
08-01-2021,1797.83,132.05
07-01-2021,1774.34,130.92
06-01-2021,1722.88,126.6
05-01-2021,1740.05,131.01
04-01-2021,1726.13,129.41
